ind1990,label,n_people,in_2011_2019,in_2020_2026
672,Fuel dealers,6853,True,True
681,Retail florists,5907,True,True
682,Miscellaneous retail stores,67547,True,True
691,"Retail trade, n.s.",22107,True,True
700,Banking,133608,True,True
701,"Savings institutions, including credit unions",18755,True,True
702,"Credit agencies, n.e.c.",62549,True,True
710,"Security, commodity brokerage, and investment companies",85487,True,True
711,Insurance,172159,True,True
712,"Real estate, including real estate-insurance offices",156109,True,True
721,Advertising,35367,True,True
722,Services to dwellings and other buildings,97660,True,True
731,Personnel supply services,61576,True,True
732,Computer and data processing services,214469,True,True
740,Detective and protective services,46523,True,True
741,"Business services, n.e.c.",129832,True,True
742,"Automotive rental and leasing, without drivers",9064,True,True
750,Automobile parking and carwashes,8817,True,True
751,Automotive repair and related services,78494,True,True
752,Electrical repair shops,7912,True,True
760,Miscellaneous repair services,32678,True,True
761,Private households,39654,True,True
762,Hotels and motels,89287,True,True
770,"Lodging places, except hotels and motels",5412,True,True
771,"Laundry, cleaning, and garment services",16057,True,True
772,Beauty shops,59755,True,True
780,Barber shops,6859,True,True
781,Funeral service and crematories,7254,True,True
782,Shoe repair shops,35,True,False
791,Miscellaneous personal services,57477,True,True
800,Theaters and motion pictures,23011,True,True
801,Video tape rental,489,True,False
802,Bowling centers,2217,True,True
810,Miscellaneous entertainment and recreation services,157178,True,True
812,Offices and clinics of physicians,96430,True,True
820,Offices and clinics of dentists,57481,True,True
821,Offices and clinics of chiropractors,9015,True,True
822,Offices and clinics of optometrists,9262,True,True
830,"Offices and clinics of health practitioners, n.e.c.",21120,True,True
831,Hospitals,459411,True,True
832,Nursing and personal care facilities,101601,True,True
840,"Health services, n.e.c.",309789,True,True
841,Legal services,101118,True,True
842,Elementary and secondary schools,598732,True,True
850,Colleges and universities,229262,True,True
851,Vocational schools,6217,True,True
852,Libraries,12470,True,True
860,"Educational services, n.e.c.",47856,True,True
861,Job training and vocational rehabilitation services,7634,True,True
862,Child day care services,90529,True,True
870,"Residential care facilities, without nursing",53801,True,True
871,"Social services, n.e.c.",111766,True,True
872,"Museums, art galleries, and zoos",21880,True,True
873,Labor unions,5166,True,True
880,Religious organizations,57418,True,True
881,"Membership organizations, n.e.c.",66261,True,True
882,"Engineering, architectural, and surveying services",107675,True,True
890,"Accounting, auditing, and bookkeeping services",68691,True,True
891,"Research, development, and testing services",44276,True,True
892,Management and public relations services,105004,True,True
900,Executive and legislative offices,79106,True,True
901,"General government, n.e.c.",9059,True,True
910,"Justice, public order, and safety",179443,True,True
921,"Public finance, taxation, and monetary policy",23359,True,True
922,Administration of human resources programs,79376,True,True
930,Administration of environmental quality and housing programs,24072,True,True
931,Administration of economic programs,45793,True,True
932,National security and international affairs,67929,True,True
952,"Armed Forces, branch not specified",1703,True,True
